,Rank,City,Population_2011,Population_2001,Territory
0,1,Mumbai,12442373,11978450,Maharashtra
1,2,Delhi,11007835,9879172,Delhi
2,3,Bangalore,8425970,4301326,Karnataka
3,4,Hyderabad,6809970,3637483,Telangana
4,5,Ahmedabad,5570585,3520085,Gujarat
5,6,Chennai,4681087,4343645,Tamil Nadu
6,7,Kolkata,4486679,4572876,West Bengal
7,8,Surat,4467797,2433835,Gujarat
8,9,Pune,3115431,2538473,Maharashtra
9,10,Jaipur,3046163,2322575,Rajasthan
10,11,Lucknow,2815601,2185927,Uttar Pradesh
11,12,Kanpur,2767031,2551337,Uttar Pradesh
12,13,Nagpur,2405665,2052066,Maharashtra
13,14,Indore,1960631,1474968,Madhya Pradesh
14,15,Thane,1818872,1262551,Maharashtra
15,16,Bhopal,1795648,1437354,Madhya Pradesh
16,17,Visakhapatnam[4],1730320,1345938,Andhra Pradesh
17,18,Pimpri-Chinchwad,1727692,1012472,Maharashtra
18,19,Patna,1684222,1366444,Bihar
19,20,Vadodara,1670806,1306227,Gujarat
20,21,Ghaziabad,1648643,968256,Uttar Pradesh
21,22,Ludhiana,1618879,1398467,Punjab
22,23,Agra,1585704,1275134,Uttar Pradesh
23,24,Coimbatore,"1,584,719 [5]",930882,Tamil Nadu
24,25,Nashik,1486053,1077236,Maharashtra
25,26,Ranchi,1456528,1079968,Jharkhand
26,27,Faridabad,1414050,1055938,Haryana
27,28,Meerut,1305429,1039405,Uttar Pradesh
28,29,Rajkot,1286678,967476,Gujarat
29,30,Kalyan-Dombivli,1247327,1193512,Maharashtra
30,31,Vasai-Virar,1222390,693350,Maharashtra
31,32,Varanasi,1201815,1091918,Uttar Pradesh
32,33,Srinagar,1180570,898440,Jammu and Kashmir
33,34,Aurangabad,1175116,873311,Maharashtra
34,35,Dhanbad,1162472,1065327,Jharkhand
35,36,Gurgaon,1153000,876824,Haryana
36,37,Amritsar,1132383,966862,Punjab
37,38,Navi Mumbai,1120547,704002,Maharashtra
38,39,Allahabad,1112544,975393,Uttar Pradesh[6]
39,40,Howrah,1077075,1007532,West Bengal
40,41,Gwalior,1069276,827026,Madhya Pradesh
41,42,Jabalpur,1055525,932484,Madhya Pradesh
42,43,Vijayawada,1034358,851282,Andhra Pradesh
43,44,Jodhpur,1033918,851051,Rajasthan
44,45,Salem,1032336,696760,Tamil Nadu
45,46,Madurai,1017865,928869,Tamil Nadu
46,47,Raipur,1010087,605747,Chhattisgarh
47,48,Kota[7],1001694,694316,Rajasthan
48,49,Chandigarh,960787,808515,Chandigarh
49,50,Guwahati,957352,809895,Assam
50,51,Solapur,951558,872478,Maharashtra
51,52,Hubli–Dharwad,943788,786195,Karnataka
52,53,Mysore[8][9][10],920550,762408,Karnataka
53,54,Tiruchirappalli[11],916674,752066,Tamil Nadu
54,55,Bareilly,898167,718395,Uttar Pradesh
55,56,Aligarh,889810,672315,Uttar Pradesh
56,57,Tiruppur,877778,344543,Tamil Nadu
57,58,Moradabad,872575,669087,Uttar Pradesh
58,59,Jalandhar,862196,706043,Punjab
59,60,Bhubaneswar,837737,648032,Odisha
60,61,Warangal[12][13],830281,530636,Telangana
61,62,Mira-Bhayandar,814655,520388,Maharashtra
62,63,Jalgaon,798514,462280,Maharashtra
63,64,Guntur[14],670073,514461,Andhra Pradesh
64,65,Thiruvananthapuram,752490,368618,Kerala
65,66,Bhiwandi,711329,598741,Maharashtra
66,67,Saharanpur,703345,455754,Uttar Pradesh
67,68,Gorakhpur,671048,622701,Uttar Pradesh
68,69,Bikaner,647804,529690,Rajasthan
69,70,Amravati,646801,549510,Maharashtra
70,71,Noida,642381,305058,Uttar Pradesh
71,72,Jamshedpur,631364,573096,Jharkhand
72,73,Bhilai,625697,556366,Chhattisgarh
73,74,Cuttack,606007,534654,Odisha
74,75,Firozabad,603797,279102,Uttar Pradesh
75,76,Kochi,601574,596473,Kerala
76,77,Nellore[15][16],558548,378428,Andhra Pradesh
77,78,Bhavnagar,593768,511085,Gujarat
78,79,Dehradun,578420,426674,Uttarakhand
79,80,Durgapur,566937,493405,West Bengal
80,81,Asansol,564491,475439,West Bengal
81,82,Rourkela,552734,426354,Odisha
82,83,Nanded,550564,430733,Maharashtra
83,84,Kolhapur,549283,493167,Maharashtra
84,85,Ajmer,542580,485575,Rajasthan
85,86,Akola,537149,400520,Maharashtra
86,87,Gulbarga,532031,422569,Karnataka
87,88,Jamnagar,529308,443518,Gujarat
88,89,Ujjain,515215,430427,Madhya Pradesh
89,90,Loni,512296,120945,Uttar Pradesh
90,91,Siliguri,509709,472374,West Bengal
91,92,Jhansi,507293,383644,Uttar Pradesh
92,93,Ulhasnagar,506937,473731,Maharashtra
93,94,Jammu[17],503690,369959,Jammu and Kashmir
94,95,Sangli-Miraj & Kupwad,502697,436781,Maharashtra
95,96,Mangalore,499486,399565,Karnataka
96,97,Erode[18],498129,173600,Tamil Nadu
97,98,Belgaum,488292,399653,Karnataka
98,99,Kurnool[19],484327,345987,Andhra Pradesh
99,100,Ambattur,478134,310967,Tamil Nadu
100,101,Rajahmundry[20][21],476873,315251,Andhra Pradesh
101,102,Tirunelveli,473637,411831,Tamil Nadu
102,103,Malegaon,471006,409403,Maharashtra
103,104,Gaya,463454,385432,Bihar
104,105,Tirupati[22][23],461900,228202,Andhra Pradesh
105,106,Udaipur,451735,389438,Rajasthan
106,107,Kakinada,443028,325985,Andhra Pradesh
107,108,Davanagere,435128,364523,Karnataka
108,109,Kozhikode,432097,436556,Kerala
109,110,Maheshtala,429423,385266,West Bengal
110,111,Rajpur Sonarpur,423806,336707,West Bengal
111,112,Bokaro,413934,393805,Jharkhand
112,113,South Dumdum,410524,392444,West Bengal
113,114,Bellary,409644,316766,Karnataka
114,115,Patiala,405164,303151,Punjab
115,116,Gopalpur,404991,271811,West Bengal
116,117,Agartala,399688,271811,Tripura
117,118,Bhagalpur,398138,340767,Bihar
118,119,Muzaffarnagar,392451,316729,Uttar Pradesh
119,120,Bhatpara,390467,442385,West Bengal
120,121,Panihati,383522,348438,West Bengal
121,122,Latur,382754,299985,Maharashtra
122,123,Dhule,376093,341755,Maharashtra
123,124,Rohtak,373133,286807,Haryana
124,125,Sagar,370296,232133,Madhya Pradesh
125,126,Korba,363210,315690,Chhattisgarh
126,127,Bhilwara,360009,280128,Rajasthan
127,128,Berhampur,355823,307792,Odisha
128,129,Muzaffarpur,351838,305525,Bihar
129,130,Ahmednagar,350905,307615,Maharashtra
130,131,Mathura,349336,302770,Uttar Pradesh
131,132,Kollam,349033,361560,Kerala
132,133,Avadi,344701,229403,Tamil Nadu
133,134,Kadapa[24],344893,125725,Andhra Pradesh
134,135,Anantapuram[25],340613,255134,Andhra Pradesh
